,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
164,2.818806219100952,0.09329276328599782,0.00830702781677246,0.0018633103061923611,0.5,1000,8,5,50,20,deviance,0.001,"{'subsample': 0.5, 'n_estimators': 1000, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 50, 'max_depth': 20, 'loss': 'deviance', 'learning_rate': 0.001}",0.84375,0.75,0.75,0.75,0.5806451612903226,0.7357494974633866,0.08477880825345296,92,0.968503937007874,0.9763779527559056,0.9763779527559056,0.9763779527559056,0.9921875,0.9779650590551181,0.0077375367661614725
270,0.07583236694335938,0.011830574709255408,0.003289604187011719,0.0021500752045066425,1,10,12,4,75,,exponential,0.1,"{'subsample': 1, 'n_estimators': 10, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 75, 'max_depth': None, 'loss': 'exponential', 'learning_rate': 0.1}",0.71875,0.75,0.8125,0.78125,0.6129032258064516,0.7356687326505217,0.0682279039934946,93,1.0,1.0,1.0,1.0,1.0,1.0,0.0
289,0.2389838695526123,0.013493658881730623,0.002818584442138672,0.0005053012339694809,1,600,12,4,50,100,exponential,1,"{'subsample': 1, 'n_estimators': 600, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 50, 'max_depth': 100, 'loss': 'exponential', 'learning_rate': 1}",0.75,0.78125,0.8125,0.78125,0.5483870967741935,0.7356448023355987,0.09451998227992524,94,1.0,1.0,1.0,1.0,1.0,1.0,0.0
439,0.05374774932861328,0.005448333664943243,0.0065288543701171875,0.00785760866986988,1,25,50,2,sqrt,20,deviance,1,"{'subsample': 1, 'n_estimators': 25, 'min_samples_split': 50, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'loss': 'deviance', 'learning_rate': 1}",0.78125,0.84375,0.90625,0.59375,0.5161290322580645,0.7298835790178999,0.1485188851451523,95,1.0,1.0,1.0,1.0,1.0,1.0,0.0
353,0.4203640937805176,0.01308464099478625,0.0033752918243408203,0.0013058421643170862,0.75,800,20,4,75,10,deviance,1,"{'subsample': 0.75, 'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 75, 'max_depth': 10, 'loss': 'deviance', 'learning_rate': 1}",0.78125,0.78125,0.84375,0.625,0.6129032258064516,0.7298267445199579,0.09245582525049575,96,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.3514984130859375,0.004862791138267912,0.0026577472686767577,8.526691079364071e-05,1,1000,50,3,75,20,exponential,1,"{'subsample': 1, 'n_estimators': 1000, 'min_samples_split': 50, 'min_samples_leaf': 3, 'max_features': 75, 'max_depth': 20, 'loss': 'exponential', 'learning_rate': 1}",0.8125,0.8125,0.8125,0.625,0.5806451612903226,0.7298147793624964,0.10334741209146286,97,1.0,1.0,1.0,1.0,1.0,1.0,0.0
470,0.23965835571289062,0.028225298863491847,0.0032636642456054686,0.0006890312181607708,0.5,100,10,1,5,,deviance,0.1,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 5, 'max_depth': None, 'loss': 'deviance', 'learning_rate': 0.1}",0.78125,0.71875,0.78125,0.65625,0.7096774193548387,0.7297699100220159,0.04740996705604742,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
190,0.13671555519104003,0.032083323499948184,0.0026758193969726564,0.0005776326372785585,1,200,15,10,75,20,deviance,1,"{'subsample': 1, 'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 75, 'max_depth': 20, 'loss': 'deviance', 'learning_rate': 1}",0.78125,0.84375,0.75,0.65625,0.6129032258064516,0.7297340145496314,0.08359548360167941,99,1.0,1.0,1.0,1.0,1.0,1.0,0.0
208,0.6416823387145996,0.017975802120525967,0.003750038146972656,9.332379310296265e-05,1,200,10,1,5,,deviance,0.01,"{'subsample': 1, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 5, 'max_depth': None, 'loss': 'deviance', 'learning_rate': 0.01}",0.71875,0.6875,0.90625,0.6875,0.6451612903225806,0.7296532497367665,0.09179721830272897,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0
148,0.11868224143981934,0.010048454123847103,0.003285837173461914,0.0009434179419685257,1,25,8,3,sqrt,20,deviance,0.1,"{'subsample': 1, 'n_estimators': 25, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 20, 'loss': 'deviance', 'learning_rate': 0.1}",0.71875,0.78125,0.8125,0.6875,0.6451612903225806,0.7296532497367665,0.06080707854741906,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0
112,3.2792190074920655,0.09340189599756084,0.005957174301147461,0.0004499956600475651,0.5,600,8,2,100,100,deviance,0.001,"{'subsample': 0.5, 'n_estimators': 600, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 100, 'loss': 'deviance', 'learning_rate': 0.001}",0.8125,0.8125,0.75,0.6875,0.5806451612903226,0.7296293194218436,0.0869201981057599,102,0.9763779527559056,0.984251968503937,0.984251968503937,0.9921259842519685,0.9921875,0.9858390748031496,0.005905563073924473
382,0.6754666328430176,0.011613382858106756,0.004167985916137695,0.00038196720229452736,0.25,1000,50,1,5,50,exponential,0.01,"{'subsample': 0.25, 'n_estimators': 1000, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 5, 'max_depth': 50, 'loss': 'exponential', 'learning_rate': 0.01}",0.75,0.6875,0.8125,0.71875,0.6774193548387096,0.7295724849239016,0.04883630668029297,103,0.8661417322834646,0.8740157480314961,0.8740157480314961,0.8976377952755905,0.8671875,0.8757997047244095,0.011408012129824858
