,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_shrinking,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
102,0.030005216598510742,0.005646485459436283,0.0065346240997314455,0.001073560452478366,32,1e-05,True,0.001,"{'C': 32, 'gamma': 1e-05, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.7058823529411765,0.6865671641791045,0.6567164179104478,0.6865671641791045,0.685459940652819,0.015984252317061243,32,0.7695167286245354,0.758364312267658,0.7222222222222222,0.737037037037037,0.7148148148148148,0.7403910229932535,0.020817506209439528
16,0.023964309692382814,0.000882709899473005,0.005680227279663086,0.00023040723129562766,0.25,0.001,True,0.001,"{'C': 0.25, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.6911764705882353,0.6268656716417911,0.6567164179104478,0.7164179104477612,0.6765578635014837,0.03116604594382172,33,0.7174721189591078,0.7286245353159851,0.6851851851851852,0.6925925925925925,0.6851851851851852,0.7018119234476112,0.0179000044165978
134,0.024516487121582033,0.0019682114628739498,0.00581817626953125,0.00032191627236649806,256,1e-06,True,0.001,"{'C': 256, 'gamma': 1e-06, 'shrinking': True, 'tol': 0.001}",0.7058823529411765,0.7058823529411765,0.6865671641791045,0.6417910447761194,0.6417910447761194,0.6765578635014837,0.029113122608388997,33,0.7360594795539034,0.7360594795539034,0.7111111111111111,0.7111111111111111,0.6814814814814815,0.7151645325623022,0.020202009803971376
126,0.03136768341064453,0.004100823110135792,0.004920387268066406,0.0011015125021240438,128,0.001,True,0.001,"{'C': 128, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6617647058823529,0.582089552238806,0.6716417910447762,0.7313432835820896,0.6735905044510386,0.05293702696305629,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
137,0.027463674545288086,0.0010951285034406177,0.0042133331298828125,0.00012171645583644183,256,0.001,True,0.001,"{'C': 256, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6617647058823529,0.582089552238806,0.6567164179104478,0.7014925373134329,0.6646884272997032,0.04765079945489046,36,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,0.024707937240600587,0.001928316548084404,0.007292604446411133,0.001945562400091981,2,0.0001,True,0.001,"{'C': 2, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.6617647058823529,0.7058823529411765,0.6119402985074627,0.6119402985074627,0.6417910447761194,0.6468842729970327,0.035181285299915384,37,0.7063197026022305,0.6988847583643123,0.6814814814814815,0.7,0.6481481481481481,0.6869668181192343,0.021087500201722082
5,0.026142644882202148,0.00164527983447642,0.00628819465637207,0.0007107278013792596,0.125,0.001,True,0.001,"{'C': 0.125, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.6617647058823529,0.6470588235294118,0.5522388059701493,0.6119402985074627,0.5970149253731343,0.6142433234421365,0.03869599700597825,38,0.6356877323420075,0.6245353159851301,0.6555555555555556,0.6592592592592592,0.6296296296296297,0.6409334985543165,0.013955887386729504
91,0.037736368179321286,0.00848240488513867,0.00798811912536621,0.0017294549636411591,16,1e-05,True,0.001,"{'C': 16, 'gamma': 1e-05, 'shrinking': True, 'tol': 0.001}",0.6176470588235294,0.6470588235294118,0.582089552238806,0.5970149253731343,0.5970149253731343,0.6083086053412463,0.022538274606291705,39,0.6579925650557621,0.6431226765799256,0.6444444444444445,0.6518518518518519,0.6333333333333333,0.6461489742530635,0.008355812440055161
123,0.0264585018157959,0.0020029812421533512,0.0060997486114501955,0.0006536438369649002,128,1e-06,True,0.001,"{'C': 128, 'gamma': 1e-06, 'shrinking': True, 'tol': 0.001}",0.6029411764705882,0.6029411764705882,0.5522388059701493,0.5970149253731343,0.5671641791044776,0.5845697329376854,0.020857772118102514,40,0.5985130111524164,0.6022304832713755,0.6111111111111112,0.6185185185185185,0.6074074074074074,0.6075561062921657,0.006971003983755429
48,0.02521228790283203,0.0020014104504225815,0.005859518051147461,0.00012416253610779667,1,0.0001,True,0.001,"{'C': 1, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.5735294117647058,0.5882352941176471,0.5522388059701493,0.5671641791044776,0.5522388059701493,0.5667655786350149,0.013644897960934266,41,0.5836431226765799,0.5836431226765799,0.6,0.5925925925925926,0.5925925925925926,0.590494286107669,0.006213553854778816
131,0.028729581832885744,0.0016407514270466077,0.006246328353881836,3.947249815979155e-05,128,4,True,0.001,"{'C': 128, 'gamma': 4, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
130,0.027736568450927736,0.0009951846997280718,0.0067977428436279295,0.0005719600671599096,128,2,True,0.001,"{'C': 128, 'gamma': 2, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
90,0.03502945899963379,0.007380936828540495,0.007585000991821289,0.0013338257582482832,16,1e-06,True,0.001,"{'C': 16, 'gamma': 1e-06, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,0.5539033457249071,0.5539033457249071,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5548946716232962,0.0008094142066198115
89,0.026939964294433592,0.0026052506089200658,0.007426023483276367,0.0028729236570414333,16,1e-07,True,0.001,"{'C': 16, 'gamma': 1e-07, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,0.5539033457249071,0.5539033457249071,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5548946716232962,0.0008094142066198115
88,0.02611846923828125,0.0028884688492943,0.006006956100463867,0.00027299437455653735,16,1e-08,True,0.001,"{'C': 16, 'gamma': 1e-08, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,0.5539033457249071,0.5539033457249071,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5548946716232962,0.0008094142066198115
87,0.031708049774169925,0.004122999609823423,0.008442163467407227,0.0028967310150692215,8,4,True,0.001,"{'C': 8, 'gamma': 4, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
86,0.03113899230957031,0.004515944661979399,0.00673060417175293,0.00031020485111124985,8,2,True,0.001,"{'C': 8, 'gamma': 2, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,0.0322472095489502,0.0025511043342310324,0.007490968704223633,0.0010126695775191648,8,1,True,0.001,"{'C': 8, 'gamma': 1, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
129,0.029703760147094728,0.002503405482860933,0.0064389705657958984,0.00012064093185920097,128,1,True,0.001,"{'C': 128, 'gamma': 1, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,0.032253456115722653,0.0029099799417956454,0.006884574890136719,0.0006113288364526708,8,0.1,True,0.001,"{'C': 8, 'gamma': 0.1, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
139,0.02789483070373535,0.0005289812222731008,0.006891012191772461,0.0005032773262749087,256,0.1,True,0.001,"{'C': 256, 'gamma': 0.1, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
140,0.02775406837463379,0.0003968771268736311,0.0065765857696533205,0.00030841926917798425,256,1,True,0.001,"{'C': 256, 'gamma': 1, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
122,0.024428844451904297,0.001289279844111213,0.005752658843994141,0.00010299391212579637,128,1e-07,True,0.001,"{'C': 128, 'gamma': 1e-07, 'shrinking': True, 'tol': 0.001}",0.5588235294117647,0.5588235294117647,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5548961424332344,0.0032305399893352692,42,0.5539033457249071,0.5539033457249071,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5548946716232962,0.0008094142066198115
