,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_classify__tol,param_classify__shrinking,param_classify__gamma,param_classify__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
272,0.008424949645996094,0.0009579825886412446,0.0019344806671142579,0.0013720181513459924,25,0.001,True,0.001,64,"{'reduce_dim__k': 25, 'classify__tol': 0.001, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 64}",0.7647058823529411,0.7647058823529411,0.8382352941176471,0.7761194029850746,0.6363636363636364,0.7566765578635015,0.0654086210326072,14,0.828996282527881,0.8066914498141264,0.8141263940520446,0.8185185185185185,0.8450184501845018,0.8226702190194144,0.013304263550902685
456,0.009958600997924805,0.0022933695297734998,0.0031157970428466798,0.003710793938749917,20,0.1,True,0.0001,256,"{'reduce_dim__k': 20, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.0001, 'classify__C': 256}",0.7647058823529411,0.7352941176470589,0.8676470588235294,0.746268656716418,0.6515151515151515,0.7537091988130564,0.06905543482867567,18,0.7806691449814126,0.7695167286245354,0.7955390334572491,0.7888888888888889,0.8191881918819188,0.7907603975668009,0.016658957015361523
26,0.020486927032470702,0.005833423185985017,0.003049945831298828,0.0003177257479558703,150,0.0001,True,0.0001,256,"{'reduce_dim__k': 150, 'classify__tol': 0.0001, 'classify__shrinking': True, 'classify__gamma': 0.0001, 'classify__C': 256}",0.6764705882352942,0.8382352941176471,0.7352941176470589,0.835820895522388,0.6818181818181818,0.7537091988130564,0.0711794768048592,18,0.8884758364312267,0.8661710037174721,0.8921933085501859,0.8555555555555555,0.9003690036900369,0.8805529415888953,0.01686805364177939
366,0.0069293022155761715,0.0030176522432612185,0.002990055084228516,0.003673528168468375,10,0.1,True,0.001,128,"{'reduce_dim__k': 10, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 128}",0.7941176470588235,0.75,0.75,0.8059701492537313,0.6666666666666666,0.7537091988130564,0.048598696899620424,18,0.79182156133829,0.758364312267658,0.7992565055762082,0.7851851851851852,0.8154981549815498,0.7900251438697782,0.018778460573662233
332,0.008548164367675781,0.0016494012394517484,0.0013070106506347656,5.670413879555334e-05,25,1e-05,True,0.001,16,"{'reduce_dim__k': 25, 'classify__tol': 1e-05, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 16}",0.75,0.75,0.8235294117647058,0.7761194029850746,0.6666666666666666,0.7537091988130564,0.050723338989976365,18,0.79182156133829,0.7955390334572491,0.7881040892193308,0.7851851851851852,0.8413284132841329,0.8003956564968375,0.020760701033464335
488,0.023119020462036132,0.0066495918910962825,0.00721135139465332,0.005764944643275972,100,0.0001,True,0.01,0.5,"{'reduce_dim__k': 100, 'classify__tol': 0.0001, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 0.5}",0.7205882352941176,0.7794117647058824,0.7647058823529411,0.8208955223880597,0.6818181818181818,0.7537091988130564,0.0478402496142129,18,0.8475836431226765,0.8327137546468402,0.8401486988847584,0.8555555555555555,0.8634686346863468,0.8478940573792355,0.010879288017758833
376,0.011900043487548828,0.002986185081837688,0.0013013362884521484,9.60977012508954e-05,25,1e-06,False,0.001,128,"{'reduce_dim__k': 25, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 128}",0.7647058823529411,0.7647058823529411,0.8382352941176471,0.7611940298507462,0.6363636363636364,0.7537091988130564,0.06479493515567848,18,0.8364312267657993,0.8104089219330854,0.8141263940520446,0.825925925925926,0.8523985239852399,0.8278581985324192,0.015313378281579717
244,0.017818164825439454,0.0038471299921021954,0.0028026580810546877,0.0003172171657914799,150,0.01,False,0.0001,256,"{'reduce_dim__k': 150, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.0001, 'classify__C': 256}",0.6764705882352942,0.8382352941176471,0.7352941176470589,0.835820895522388,0.6818181818181818,0.7537091988130564,0.0711794768048592,18,0.8884758364312267,0.8661710037174721,0.8921933085501859,0.8555555555555555,0.9040590405904059,0.8812909489689691,0.017775225832135196
444,0.005763196945190429,0.00047654664249601803,0.0011992931365966796,0.00014787145440596044,15,0.1,True,0.01,1,"{'reduce_dim__k': 15, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 1}",0.7794117647058824,0.75,0.7647058823529411,0.7761194029850746,0.696969696969697,0.7537091988130564,0.029846686840685574,18,0.79182156133829,0.7509293680297398,0.79182156133829,0.8148148148148148,0.8081180811808119,0.7915010773403892,0.02220776525467034
179,0.010009050369262695,0.0030991686554146954,0.0015166282653808593,0.0003862591255021403,25,0.01,False,0.001,8,"{'reduce_dim__k': 25, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 8}",0.75,0.7647058823529411,0.8235294117647058,0.7611940298507462,0.6515151515151515,0.7507418397626113,0.05530370743190126,26,0.79182156133829,0.7732342007434945,0.7806691449814126,0.7777777777777778,0.8228782287822878,0.7892761827246526,0.017884160883115948
148,0.010519123077392578,0.002904646805833148,0.0015441417694091798,0.00048369700877828165,25,1e-05,False,0.0001,256,"{'reduce_dim__k': 25, 'classify__tol': 1e-05, 'classify__shrinking': False, 'classify__gamma': 0.0001, 'classify__C': 256}",0.75,0.75,0.8529411764705882,0.7313432835820896,0.6666666666666666,0.7507418397626113,0.059723820462115926,26,0.79182156133829,0.7881040892193308,0.7955390334572491,0.7925925925925926,0.8487084870848709,0.8033531527384667,0.02280117543855778
204,0.027152109146118163,0.002936743578910927,0.005312967300415039,0.0013810721252807644,200,0.0001,False,1e-05,128,"{'reduce_dim__k': 200, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 1e-05, 'classify__C': 128}",0.7352941176470589,0.7794117647058824,0.7647058823529411,0.7761194029850746,0.696969696969697,0.7507418397626113,0.03078425211146312,26,0.8438661710037175,0.8141263940520446,0.8364312267657993,0.8185185185185185,0.8376383763837638,0.8301161373447687,0.011625011941360137
38,0.0064506053924560545,0.0010831421428502412,0.0018566131591796875,0.0012283064783190983,15,0.1,False,0.1,0.25,"{'reduce_dim__k': 15, 'classify__tol': 0.1, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 0.25}",0.7205882352941176,0.7647058823529411,0.7941176470588235,0.8059701492537313,0.6666666666666666,0.7507418397626113,0.05092376002826644,26,0.8252788104089219,0.7881040892193308,0.8215613382899628,0.8037037037037037,0.8191881918819188,0.8115672267007676,0.01384429643523631
107,0.014883708953857423,0.0020466432225411837,0.0025873184204101562,0.0011313685151848477,75,1e-05,False,0.001,16,"{'reduce_dim__k': 75, 'classify__tol': 1e-05, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 16}",0.7058823529411765,0.8088235294117647,0.7647058823529411,0.7910447761194029,0.6818181818181818,0.7507418397626113,0.04877912421919407,26,0.8661710037174721,0.8252788104089219,0.8587360594795539,0.8407407407407408,0.8523985239852399,0.8486650276663857,0.014363379511376829
81,0.030767822265625,0.005239688121616304,0.004946708679199219,0.0007987812060136078,200,1e-06,False,1e-05,128,"{'reduce_dim__k': 200, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 1e-05, 'classify__C': 128}",0.7352941176470589,0.7794117647058824,0.7647058823529411,0.7761194029850746,0.696969696969697,0.7507418397626113,0.03078425211146312,26,0.8438661710037175,0.8141263940520446,0.8364312267657993,0.8185185185185185,0.8376383763837638,0.8301161373447687,0.011625011941360137
426,0.024443387985229492,0.006028917342319162,0.0074040889739990234,0.003189265077778449,200,1e-05,True,1e-05,128,"{'reduce_dim__k': 200, 'classify__tol': 1e-05, 'classify__shrinking': True, 'classify__gamma': 1e-05, 'classify__C': 128}",0.7352941176470589,0.7794117647058824,0.7647058823529411,0.7761194029850746,0.696969696969697,0.7507418397626113,0.03078425211146312,26,0.8438661710037175,0.8141263940520446,0.8364312267657993,0.8185185185185185,0.8376383763837638,0.8301161373447687,0.011625011941360137
327,0.009617280960083009,0.00485288424669342,0.0017323970794677734,0.0009972991813241247,10,0.01,False,0.001,256,"{'reduce_dim__k': 10, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 256}",0.7794117647058824,0.75,0.7647058823529411,0.8059701492537313,0.6515151515151515,0.7507418397626113,0.05234510927409641,26,0.7806691449814126,0.758364312267658,0.7992565055762082,0.7851851851851852,0.8081180811808119,0.7863186458382552,0.017071906479435708
482,0.008075189590454102,0.0023491282270730845,0.0036075592041015627,0.004037877165213177,25,0.001,False,0.0001,256,"{'reduce_dim__k': 25, 'classify__tol': 0.001, 'classify__shrinking': False, 'classify__gamma': 0.0001, 'classify__C': 256}",0.75,0.75,0.8529411764705882,0.7313432835820896,0.6666666666666666,0.7507418397626113,0.059723820462115926,26,0.79182156133829,0.7881040892193308,0.7955390334572491,0.7962962962962963,0.8487084870848709,0.8040938934792073,0.02249770695367382
278,0.011946630477905274,0.0016567565080476512,0.0022249221801757812,0.00013710523611029115,100,1,True,0.01,0.75,"{'reduce_dim__k': 100, 'classify__tol': 1, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 0.75}",0.7352941176470589,0.7794117647058824,0.75,0.7910447761194029,0.6818181818181818,0.7477744807121661,0.03819175375305561,35,0.8698884758364313,0.8513011152416357,0.862453531598513,0.8740740740740741,0.8671586715867159,0.8649751736674741,0.007810720101670984
114,0.020457696914672852,0.004804984065845688,0.003006744384765625,0.0014166414302214563,100,1e-05,True,0.001,128,"{'reduce_dim__k': 100, 'classify__tol': 1e-05, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 128}",0.6764705882352942,0.8529411764705882,0.7647058823529411,0.7761194029850746,0.6666666666666666,0.7477744807121661,0.06901843226823802,35,0.9442379182156134,0.929368029739777,0.9368029739776952,0.937037037037037,0.959409594095941,0.9413711106132128,0.01017183846435386
423,0.015450429916381837,0.0038370217333259476,0.0031465530395507813,0.0015287057842432235,100,1e-05,True,0.001,16,"{'reduce_dim__k': 100, 'classify__tol': 1e-05, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 16}",0.6911764705882353,0.8235294117647058,0.7647058823529411,0.8059701492537313,0.6515151515151515,0.7477744807121661,0.06595604808929094,35,0.8736059479553904,0.8438661710037175,0.8773234200743495,0.8592592592592593,0.8966789667896679,0.8701467530164768,0.017757451723905016
14,0.006470489501953125,0.00036228301764158137,0.004961490631103516,0.006753527670683376,25,1e-05,True,0.01,1,"{'reduce_dim__k': 25, 'classify__tol': 1e-05, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 1}",0.7794117647058824,0.75,0.8088235294117647,0.7611940298507462,0.6363636363636364,0.7477744807121661,0.05849539679202785,35,0.8029739776951673,0.7843866171003717,0.8066914498141264,0.8148148148148148,0.8228782287822878,0.8063490176413536,0.012951754589070857
13,0.007302188873291015,0.0014437439417860512,0.0016160964965820312,0.00040685040685395585,25,0.1,True,0.0001,64,"{'reduce_dim__k': 25, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.0001, 'classify__C': 64}",0.7352941176470589,0.7647058823529411,0.8382352941176471,0.746268656716418,0.6515151515151515,0.7477744807121661,0.059628890417798855,35,0.7657992565055762,0.7732342007434945,0.7695167286245354,0.7666666666666667,0.8191881918819188,0.7788810088844383,0.020320273567418924
155,0.03925204277038574,0.015611216943153872,0.009235811233520509,0.00411656596151174,all,1,True,1e-05,64,"{'reduce_dim__k': 'all', 'classify__tol': 1, 'classify__shrinking': True, 'classify__gamma': 1e-05, 'classify__C': 64}",0.7647058823529411,0.75,0.7352941176470589,0.7313432835820896,0.7424242424242424,0.744807121661721,0.011863842023115393,40,0.8215613382899628,0.7657992565055762,0.8215613382899628,0.8185185185185185,0.8376383763837638,0.8130157655975567,0.024543861178525538
27,0.009009218215942383,0.002993800449209524,0.0014359474182128907,0.00018484550461511716,25,0.0001,False,0.01,0.75,"{'reduce_dim__k': 25, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 0.75}",0.7647058823529411,0.7647058823529411,0.7941176470588235,0.7611940298507462,0.6363636363636364,0.744807121661721,0.05483575201151257,40,0.7843866171003717,0.7843866171003717,0.8066914498141264,0.8148148148148148,0.8228782287822878,0.8026315455223945,0.015751811849978186
348,0.019394969940185545,0.002891755747145761,0.0042685985565185545,0.001633789684558787,150,0.1,False,1e-05,128,"{'reduce_dim__k': 150, 'classify__tol': 0.1, 'classify__shrinking': False, 'classify__gamma': 1e-05, 'classify__C': 128}",0.7205882352941176,0.75,0.75,0.7761194029850746,0.7121212121212122,0.7418397626112759,0.02290405750492246,42,0.8327137546468402,0.8029739776951673,0.8178438661710037,0.8037037037037037,0.8228782287822878,0.8160227061998006,0.011409934705050653
271,0.029227638244628908,0.006883651828327852,0.006797981262207031,0.0025828525858691688,200,1,False,1e-05,128,"{'reduce_dim__k': 200, 'classify__tol': 1, 'classify__shrinking': False, 'classify__gamma': 1e-05, 'classify__C': 128}",0.7205882352941176,0.7794117647058824,0.7647058823529411,0.7313432835820896,0.7121212121212122,0.7418397626112759,0.026006741512261195,42,0.8475836431226765,0.8141263940520446,0.828996282527881,0.8222222222222222,0.8265682656826568,0.8278993615214963,0.011066802045025697
294,0.024107074737548827,0.005418718411792847,0.004817867279052734,0.0010752698069382285,200,1,True,1e-05,128,"{'reduce_dim__k': 200, 'classify__tol': 1, 'classify__shrinking': True, 'classify__gamma': 1e-05, 'classify__C': 128}",0.7205882352941176,0.7794117647058824,0.7647058823529411,0.7313432835820896,0.7121212121212122,0.7418397626112759,0.026006741512261195,42,0.8475836431226765,0.8141263940520446,0.828996282527881,0.8222222222222222,0.8265682656826568,0.8278993615214963,0.011066802045025697
421,0.006767559051513672,0.002916534722218682,0.001073598861694336,0.00010465744654661053,5,1,True,0.01,8,"{'reduce_dim__k': 5, 'classify__tol': 1, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 8}",0.8382352941176471,0.7794117647058824,0.6470588235294118,0.7761194029850746,0.6666666666666666,0.7418397626112759,0.07288919205171976,42,0.7472118959107806,0.7509293680297398,0.7360594795539034,0.7518518518518519,0.7564575645756457,0.7485020319843843,0.006883099800320567
241,0.015637683868408202,0.003246331951640016,0.005798959732055664,0.0027792363531950054,150,1,False,0.01,128,"{'reduce_dim__k': 150, 'classify__tol': 1, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 128}",0.7352941176470589,0.8088235294117647,0.7647058823529411,0.7014925373134329,0.696969696969697,0.7418397626112759,0.041682726459268474,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
71,0.01919980049133301,0.00517716816767459,0.0033655643463134767,0.0009516609802746826,100,1e-05,True,0.001,1,"{'reduce_dim__k': 100, 'classify__tol': 1e-05, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 1}",0.75,0.7352941176470589,0.75,0.7611940298507462,0.7121212121212122,0.7418397626112759,0.016821432705804308,42,0.7881040892193308,0.7657992565055762,0.7769516728624535,0.7814814814814814,0.8007380073800738,0.7826149014897832,0.011616375206374957
443,0.02274456024169922,0.004292417781303047,0.0044769287109375,0.0005133656748483768,200,1,True,0.01,16,"{'reduce_dim__k': 200, 'classify__tol': 1, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 16}",0.7352941176470589,0.8088235294117647,0.7352941176470589,0.7313432835820896,0.696969696969697,0.7418397626112759,0.03659028854239094,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
129,0.005726003646850586,0.0006907234954437871,0.003269481658935547,0.0024807594345658867,10,0.01,False,0.0001,64,"{'reduce_dim__k': 10, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.0001, 'classify__C': 64}",0.7941176470588235,0.7647058823529411,0.75,0.746268656716418,0.6363636363636364,0.7388724035608308,0.053332168322418425,49,0.7620817843866171,0.7323420074349443,0.7806691449814126,0.762962962962963,0.7785977859778598,0.7633307371487594,0.017295662324705783
106,0.027611684799194337,0.00717968764227599,0.004240512847900391,0.0005815874545027859,200,0.001,True,0.0001,128,"{'reduce_dim__k': 200, 'classify__tol': 0.001, 'classify__shrinking': True, 'classify__gamma': 0.0001, 'classify__C': 128}",0.6323529411764706,0.8382352941176471,0.7205882352941176,0.7910447761194029,0.7121212121212122,0.7388724035608308,0.07092549235730124,49,0.8884758364312267,0.8661710037174721,0.8996282527881041,0.8740740740740741,0.9188191881918819,0.8894336710405518,0.018683813702530715
117,0.008408212661743164,0.003177290107052142,0.001402568817138672,0.0004232057354575669,20,0.01,False,0.0001,64,"{'reduce_dim__k': 20, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.0001, 'classify__C': 64}",0.75,0.75,0.8088235294117647,0.746268656716418,0.6363636363636364,0.7388724035608308,0.05573280879822458,49,0.7695167286245354,0.7546468401486989,0.7695167286245354,0.774074074074074,0.8118081180811808,0.7759124979106049,0.01910976336431593
401,0.01185016632080078,0.0015618069495783999,0.0016930580139160156,3.4518663122139174e-05,50,0.001,False,0.0001,128,"{'reduce_dim__k': 50, 'classify__tol': 0.001, 'classify__shrinking': False, 'classify__gamma': 0.0001, 'classify__C': 128}",0.7352941176470589,0.7647058823529411,0.7647058823529411,0.746268656716418,0.6818181818181818,0.7388724035608308,0.030336401636422535,49,0.8178438661710037,0.7955390334572491,0.79182156133829,0.8,0.8265682656826568,0.80635454532984,0.013484525583103589
431,0.009060525894165039,0.0017276348310425612,0.0019134044647216796,0.0002426937468730664,50,0.1,True,0.0001,64,"{'reduce_dim__k': 50, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.0001, 'classify__C': 64}",0.7352941176470589,0.7352941176470589,0.7794117647058824,0.746268656716418,0.6818181818181818,0.7359050445103857,0.03124685257413116,53,0.8029739776951673,0.79182156133829,0.7843866171003717,0.7962962962962963,0.8302583025830258,0.8011473510026302,0.015762038907195366
95,0.022307586669921876,0.0077244189819087455,0.0033792495727539063,0.0035322750387221788,25,1e-05,False,0.001,256,"{'reduce_dim__k': 25, 'classify__tol': 1e-05, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 256}",0.75,0.7352941176470589,0.8235294117647058,0.746268656716418,0.6212121212121212,0.7359050445103857,0.0647073234614981,53,0.8364312267657993,0.8104089219330854,0.8141263940520446,0.8333333333333334,0.8487084870848709,0.8286016726338268,0.014342136426132523
44,0.007472467422485351,0.003541353442608428,0.0010704517364501954,0.0001295976728306396,5,1e-06,False,0.01,8,"{'reduce_dim__k': 5, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 8}",0.8088235294117647,0.7794117647058824,0.6617647058823529,0.746268656716418,0.6818181818181818,0.7359050445103857,0.05619828690030093,53,0.758364312267658,0.7620817843866171,0.7434944237918215,0.7703703703703704,0.7601476014760148,0.7588916984584964,0.008727749456004857
