,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
337,0.6177896499633789,0.011074768516412457,0.043995332717895505,0.003844076008786499,400,12,2,10,200,True,"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 10, 'max_depth': 200, 'bootstrap': True}",0.7681159420289855,0.7910447761194029,0.7910447761194029,0.7313432835820896,0.8059701492537313,0.7774480712166172,0.025993921491186532,163,0.9850746268656716,0.9666666666666667,0.9703703703703703,0.9666666666666667,0.9777777777777777,0.9733112216694305,0.007145301309429262
66,0.3671440124511719,0.030493965574793717,0.023543787002563477,0.0055861700621665355,200,50,1,10,100,False,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 10, 'max_depth': 100, 'bootstrap': False}",0.7681159420289855,0.746268656716418,0.8059701492537313,0.7164179104477612,0.8507462686567164,0.7774480712166172,0.04670661570097144,163,0.9626865671641791,0.9518518518518518,0.9555555555555556,0.9481481481481482,0.9518518518518518,0.9540187949143174,0.004926412223291913
407,0.24929499626159668,0.00913404709630824,0.023386621475219728,0.0033968365426422604,200,12,5,5,50,True,"{'n_estimators': 200, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 5, 'max_depth': 50, 'bootstrap': True}",0.782608695652174,0.8059701492537313,0.746268656716418,0.746268656716418,0.7910447761194029,0.7744807121661721,0.024118313437727218,186,0.9365671641791045,0.9407407407407408,0.9407407407407408,0.9407407407407408,0.9481481481481482,0.9413875069098949,0.0037469158898310504
218,1.882112979888916,0.13219513781613063,0.09157295227050781,0.012937106511236977,800,20,1,sqrt,75,False,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 75, 'bootstrap': False}",0.782608695652174,0.7761194029850746,0.7761194029850746,0.7164179104477612,0.8208955223880597,0.7744807121661721,0.0333640575424736,186,0.9925373134328358,0.9925925925925926,0.9962962962962963,0.9888888888888889,0.9925925925925926,0.9925815367606413,0.00234253225711237
472,0.27522945404052734,0.0048984117525156514,0.02317075729370117,0.0016740996567254167,200,8,1,5,40,True,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 5, 'max_depth': 40, 'bootstrap': True}",0.8115942028985508,0.7910447761194029,0.7611940298507462,0.746268656716418,0.7611940298507462,0.7744807121661721,0.023769822393053575,186,0.996268656716418,0.9962962962962963,0.9962962962962963,0.9962962962962963,0.9962962962962963,0.9962907683803207,1.105583195135651e-05
120,0.26418070793151854,0.0018203574460778288,0.02227311134338379,0.0019271854113607166,200,50,2,5,50,False,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 2, 'max_features': 5, 'max_depth': 50, 'bootstrap': False}",0.7681159420289855,0.7910447761194029,0.7761194029850746,0.7313432835820896,0.8059701492537313,0.7744807121661721,0.02510926253612608,186,0.9291044776119403,0.9259259259259259,0.9333333333333333,0.9296296296296296,0.9407407407407408,0.931746821448314,0.00507454256124191
475,0.9556890487670898,0.028881415282087822,0.08567695617675782,0.029061051153806226,600,15,3,10,,True,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 10, 'max_depth': None, 'bootstrap': True}",0.7681159420289855,0.7761194029850746,0.7761194029850746,0.746268656716418,0.8059701492537313,0.7744807121661721,0.01909820459623333,186,0.9664179104477612,0.9518518518518518,0.9592592592592593,0.9481481481481482,0.9481481481481482,0.9547650635710336,0.007099867282767205
69,1.9251005172729492,0.08197646282983866,0.0976407527923584,0.009288889506937086,1000,12,4,25,40,True,"{'n_estimators': 1000, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 25, 'max_depth': 40, 'bootstrap': True}",0.8115942028985508,0.7611940298507462,0.7910447761194029,0.7164179104477612,0.7910447761194029,0.7744807121661721,0.03311301480104682,186,0.9701492537313433,0.9555555555555556,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629187396351575,0.004615250393931214
489,1.3599674701690674,0.025219849961717986,0.06335115432739258,0.006498891427418808,600,10,5,auto,,False,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}",0.782608695652174,0.7611940298507462,0.8059701492537313,0.746268656716418,0.7761194029850746,0.7744807121661721,0.020113112113116074,186,1.0,0.9962962962962963,1.0,0.9962962962962963,1.0,0.9985185185185186,0.0018144368465060332
3,0.046669721603393555,0.0011228581002945507,0.00429844856262207,0.0004955936528324739,25,20,3,sqrt,,True,"{'n_estimators': 25, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.7536231884057971,0.7611940298507462,0.8208955223880597,0.6865671641791045,0.8507462686567164,0.7744807121661721,0.05696883528100715,186,0.9402985074626866,0.9148148148148149,0.937037037037037,0.9296296296296296,0.937037037037037,0.9317634051962409,0.009168184884362211
371,0.3021999359130859,0.01438606458034549,0.012587165832519532,0.0025412242817785245,100,20,4,50,20,True,"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 50, 'max_depth': 20, 'bootstrap': True}",0.7681159420289855,0.7910447761194029,0.7910447761194029,0.7313432835820896,0.7910447761194029,0.7744807121661721,0.02327868516487272,186,0.9514925373134329,0.9518518518518518,0.9444444444444444,0.9481481481481482,0.9555555555555556,0.9502985074626865,0.0037515127543361693
264,0.28121557235717776,0.013667874515307744,0.011066961288452148,0.00047585336765713297,100,50,3,50,10,True,"{'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 3, 'max_features': 50, 'max_depth': 10, 'bootstrap': True}",0.7536231884057971,0.8208955223880597,0.7611940298507462,0.7014925373134329,0.835820895522388,0.7744807121661721,0.04857642815446741,186,0.9328358208955224,0.9333333333333333,0.937037037037037,0.9037037037037037,0.9259259259259259,0.9265671641791045,0.01198202279350825
178,1.6996888160705566,0.049082721205616416,0.07447681427001954,0.0034077443013191496,800,50,1,sqrt,40,False,"{'n_estimators': 800, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 40, 'bootstrap': False}",0.782608695652174,0.7611940298507462,0.8059701492537313,0.7164179104477612,0.8059701492537313,0.7744807121661721,0.033364057542473596,186,0.9626865671641791,0.9592592592592593,0.9592592592592593,0.9629629629629629,0.9555555555555556,0.9599447208402433,0.0027141110452506252
176,1.3540793895721435,0.08792859639395396,0.10809326171875,0.026938669020177934,800,15,3,10,100,True,"{'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 10, 'max_depth': 100, 'bootstrap': True}",0.7681159420289855,0.7910447761194029,0.7910447761194029,0.7164179104477612,0.8059701492537313,0.7744807121661721,0.031381309620846946,186,0.9626865671641791,0.9518518518518518,0.9592592592592593,0.9518518518518518,0.9481481481481482,0.954759535655058,0.005361063999360256
369,1.6649995803833009,0.06399049498621993,0.05756354331970215,0.0016889240629431002,600,15,5,25,75,False,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 25, 'max_depth': 75, 'bootstrap': False}",0.7681159420289855,0.7611940298507462,0.8208955223880597,0.7014925373134329,0.8059701492537313,0.771513353115727,0.04146285329779693,198,0.9888059701492538,0.9888888888888889,0.9962962962962963,0.9888888888888889,0.9925925925925926,0.991094527363184,0.002975559636272454
115,1.7918662071228026,0.015899184009929443,0.10957489013671876,0.009101215349515012,1000,12,3,auto,150,True,"{'n_estimators': 1000, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 150, 'bootstrap': True}",0.782608695652174,0.7611940298507462,0.7761194029850746,0.7313432835820896,0.8059701492537313,0.771513353115727,0.02464653315038268,198,0.9701492537313433,0.9592592592592593,0.9629629629629629,0.9629629629629629,0.9740740740740741,0.9658817025981203,0.00540780511791608
