,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
364,0.04792428016662598,0.0027820996018706797,0.0016013145446777343,4.900638072661682e-05,0.5,10,12,2,100,100,exponential,0.01,"{'subsample': 0.5, 'n_estimators': 10, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 100, 'loss': 'exponential', 'learning_rate': 0.01}",0.6470588235294118,0.75,0.6716417910447762,0.6865671641791045,0.7014925373134329,0.6913946587537092,0.03452742206387124,267,0.8327137546468402,0.8587360594795539,0.8333333333333334,0.7962962962962963,0.825925925925926,0.8294010739363898,0.019974888488132062
68,0.20395317077636718,0.005392487474373202,0.002346229553222656,4.7414832182471916e-05,0.25,200,10,4,10,100,deviance,0.001,"{'subsample': 0.25, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 100, 'loss': 'deviance', 'learning_rate': 0.001}",0.6470588235294118,0.6911764705882353,0.7313432835820896,0.7313432835820896,0.6567164179104478,0.6913946587537092,0.0356412658188977,267,0.7806691449814126,0.8029739776951673,0.7518518518518519,0.7592592592592593,0.774074074074074,0.7737656615723532,0.017841130551152263
4,0.011839008331298828,0.001305769585461974,0.0015788078308105469,6.49602035291681e-05,0.5,2,10,10,100,150,deviance,1,"{'subsample': 0.5, 'n_estimators': 2, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 100, 'max_depth': 150, 'loss': 'deviance', 'learning_rate': 1}",0.75,0.6470588235294118,0.6268656716417911,0.7164179104477612,0.7164179104477612,0.6913946587537092,0.04654567195248049,267,0.8104089219330854,0.7732342007434945,0.774074074074074,0.8,0.8296296296296296,0.7974693652760567,0.021646254605469775
458,0.7053048133850097,0.05111237386048592,0.005465793609619141,0.0024754769831094254,0.75,800,15,5,2,100,deviance,1,"{'subsample': 0.75, 'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 2, 'max_depth': 100, 'loss': 'deviance', 'learning_rate': 1}",0.6323529411764706,0.6323529411764706,0.6567164179104478,0.7313432835820896,0.8059701492537313,0.6913946587537092,0.06762457007099763,267,1.0,1.0,1.0,1.0,1.0,1.0,0.0
495,5.575750541687012,0.29623333618075653,0.007599782943725586,0.00027058613496531037,0.5,1000,8,2,100,100,exponential,0.0001,"{'subsample': 0.5, 'n_estimators': 1000, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 100, 'loss': 'exponential', 'learning_rate': 0.0001}",0.6617647058823529,0.6764705882352942,0.7014925373134329,0.6865671641791045,0.7313432835820896,0.6913946587537092,0.023754620691081738,267,0.8773234200743495,0.8698884758364313,0.8777777777777778,0.8333333333333334,0.8444444444444444,0.8605534902932673,0.01825095549490759
413,0.03121342658996582,0.005389967239841288,0.002285003662109375,0.000972684397687979,1,25,20,3,1,,exponential,0.1,"{'subsample': 1, 'n_estimators': 25, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 1, 'max_depth': None, 'loss': 'exponential', 'learning_rate': 0.1}",0.6617647058823529,0.6911764705882353,0.6567164179104478,0.7313432835820896,0.7014925373134329,0.6884272997032641,0.02729468206751053,273,0.9033457249070632,0.9368029739776952,0.8851851851851852,0.9259259259259259,0.8666666666666667,0.9035852953325072,0.025706514893602848
482,0.4937166213989258,0.027189175065431233,0.003026866912841797,0.0009127827025045017,0.25,600,8,5,50,100,exponential,1,"{'subsample': 0.25, 'n_estimators': 600, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 50, 'max_depth': 100, 'loss': 'exponential', 'learning_rate': 1}",0.6764705882352942,0.6470588235294118,0.7910447761194029,0.6268656716417911,0.6716417910447762,0.6824925816023739,0.056938549463829716,274,1.0,1.0,1.0,1.0,1.0,1.0,0.0
177,0.012717294692993163,0.0023269600135320326,0.0019876956939697266,0.0005934215540245958,1,2,12,10,sqrt,,exponential,1,"{'subsample': 1, 'n_estimators': 2, 'min_samples_split': 12, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None, 'loss': 'exponential', 'learning_rate': 1}",0.6470588235294118,0.6029411764705882,0.6716417910447762,0.8059701492537313,0.6865671641791045,0.6824925816023739,0.06773663677373427,274,0.8996282527881041,0.9330855018587361,0.937037037037037,0.9333333333333333,0.8962962962962963,0.9198760842627014,0.017978129190006114
294,0.42659740447998046,0.0288797690555599,0.0030449867248535157,6.125429421558666e-05,0.25,600,12,10,5,20,exponential,0.001,"{'subsample': 0.25, 'n_estimators': 600, 'min_samples_split': 12, 'min_samples_leaf': 10, 'max_features': 5, 'max_depth': 20, 'loss': 'exponential', 'learning_rate': 0.001}",0.6323529411764706,0.7058823529411765,0.6865671641791045,0.7014925373134329,0.6865671641791045,0.6824925816023739,0.02638248685292968,274,0.7806691449814126,0.7843866171003717,0.7518518518518519,0.7444444444444445,0.7814814814814814,0.7685667079719124,0.01688075764892104
311,0.012624406814575195,0.0006455233217961843,0.0016010284423828125,4.7163124229349656e-05,0.5,2,10,4,100,150,exponential,0.1,"{'subsample': 0.5, 'n_estimators': 2, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 100, 'max_depth': 150, 'loss': 'exponential', 'learning_rate': 0.1}",0.7352941176470589,0.6470588235294118,0.746268656716418,0.6417910447761194,0.6268656716417911,0.6795252225519288,0.050599495763565344,277,0.8104089219330854,0.8327137546468402,0.8592592592592593,0.825925925925926,0.7666666666666667,0.8189949056863556,0.030559541040136164
