,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
73,0.19475407600402833,0.018248540014074152,0.00276799201965332,0.0006713770566320916,0.01,exponential,10,100,1,50,50,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 50, 'subsample': 0.5}",0.7536231884057971,0.8059701492537313,0.835820895522388,0.8955223880597015,0.8507462686567164,0.827893175074184,0.04744038136960305,39,0.9477611940298507,0.9518518518518518,0.9444444444444444,0.9407407407407408,0.9555555555555556,0.9480707573244886,0.005240114465162371
97,0.9805171012878418,0.10311538237981208,0.005697441101074219,0.002272469481057026,0.01,exponential,10,sqrt,1,50,600,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 600, 'subsample': 0.5}",0.782608695652174,0.8208955223880597,0.8507462686567164,0.8805970149253731,0.8059701492537313,0.827893175074184,0.034369121492269936,39,0.9925373134328358,1.0,0.9962962962962963,0.9925925925925926,0.9851851851851852,0.9933222775013819,0.004915234390715992
98,1.1573627948760987,0.10436430023563058,0.006593561172485352,0.002947863424304555,0.01,exponential,10,sqrt,1,50,800,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 800, 'subsample': 0.5}",0.7681159420289855,0.835820895522388,0.8507462686567164,0.8656716417910447,0.8059701492537313,0.8249258160237388,0.03490635285234579,42,0.996268656716418,1.0,0.9962962962962963,1.0,1.0,0.9985129906025427,0.0018212281067527905
49,1.4422393798828126,0.026337905208923894,0.0053996086120605465,0.0006219950346066581,0.01,exponential,10,25,1,50,1000,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 25, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 1000, 'subsample': 0.5}",0.7246376811594203,0.835820895522388,0.8208955223880597,0.9104477611940298,0.835820895522388,0.8249258160237388,0.05969792072631197,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
95,0.2635615825653076,0.018809831354596785,0.0031612396240234377,0.0009034341758695899,0.01,exponential,10,sqrt,1,50,200,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200, 'subsample': 0.5}",0.7971014492753623,0.8507462686567164,0.8507462686567164,0.835820895522388,0.7761194029850746,0.8219584569732937,0.030199183468329397,44,0.9402985074626866,0.9518518518518518,0.9444444444444444,0.9296296296296296,0.9555555555555556,0.9443559977888336,0.009109938441310052
72,0.12793655395507814,0.018646618953174033,0.0033009529113769533,0.0021687612103050845,0.01,exponential,10,100,1,50,25,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 25, 'subsample': 0.5}",0.8115942028985508,0.8059701492537313,0.7910447761194029,0.9104477611940298,0.7910447761194029,0.8219584569732937,0.04482840815572145,44,0.9328358208955224,0.9333333333333333,0.9148148148148149,0.937037037037037,0.9185185185185185,0.9273079049198453,0.008886509641453435
44,0.13726320266723632,0.002285153681777057,0.0020380020141601562,6.6914033592089e-05,0.01,exponential,10,25,1,50,100,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 25, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 100, 'subsample': 0.5}",0.7391304347826086,0.835820895522388,0.8507462686567164,0.9253731343283582,0.7611940298507462,0.8219584569732937,0.06684267604222008,44,0.9402985074626866,0.9518518518518518,0.9259259259259259,0.9259259259259259,0.9333333333333333,0.9354671088999448,0.00978185623415325
93,0.07534675598144532,0.007437735542028832,0.0026303768157958985,0.001069228958311532,0.01,exponential,10,sqrt,1,50,50,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 50, 'subsample': 0.5}",0.782608695652174,0.7910447761194029,0.835820895522388,0.8656716417910447,0.8208955223880597,0.8189910979228486,0.03027464674215708,47,0.9067164179104478,0.9,0.8925925925925926,0.9074074074074074,0.8962962962962963,0.9006025428413489,0.005774976541821402
99,1.634756898880005,0.2866106236247734,0.004589700698852539,0.0003241903798540243,0.01,exponential,10,sqrt,1,50,1000,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 1000, 'subsample': 0.5}",0.7681159420289855,0.835820895522388,0.835820895522388,0.8507462686567164,0.8059701492537313,0.8189910979228486,0.029610105965484412,47,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,0.22857465744018554,0.01500247260666049,0.0028766632080078126,0.00046904010413433033,0.01,exponential,10,10,1,50,200,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 10, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200, 'subsample': 0.5}",0.7971014492753623,0.835820895522388,0.835820895522388,0.835820895522388,0.7910447761194029,0.8189910979228486,0.020550312113858465,47,0.9402985074626866,0.9407407407407408,0.9444444444444444,0.9333333333333333,0.9296296296296296,0.937689331122167,0.005397850733730884
26,0.4271101474761963,0.01871562531708725,0.003829622268676758,0.001326005850027299,0.01,exponential,10,5,1,50,400,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 400, 'subsample': 0.5}",0.7971014492753623,0.8208955223880597,0.8507462686567164,0.835820895522388,0.7761194029850746,0.8160237388724035,0.026687646454065773,50,0.9664179104477612,0.9592592592592593,0.9481481481481482,0.9518518518518518,0.9555555555555556,0.956246545052515,0.006291390118704304
82,0.16007022857666015,0.009711001840590164,0.0018370628356933593,0.00023085106658452426,0.01,exponential,10,auto,1,50,25,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 25, 'subsample': 0.5}",0.782608695652174,0.8208955223880597,0.7910447761194029,0.8507462686567164,0.835820895522388,0.8160237388724035,0.025980802297573137,50,0.8992537313432836,0.9185185185185185,0.9148148148148149,0.9074074074074074,0.9333333333333333,0.9146655610834715,0.01143292236631754
25,0.24629764556884765,0.028488707474250127,0.004361391067504883,0.002664435747158627,0.01,exponential,10,5,1,50,200,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200, 'subsample': 0.5}",0.7681159420289855,0.8059701492537313,0.8507462686567164,0.8507462686567164,0.7910447761194029,0.8130563798219584,0.03293427846435636,52,0.914179104477612,0.9185185185185185,0.9222222222222223,0.8925925925925926,0.9296296296296296,0.915428413488115,0.012493315133211625
27,0.6650021076202393,0.022585335111994398,0.00995044708251953,0.007239527313319731,0.01,exponential,10,5,1,50,600,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 600, 'subsample': 0.5}",0.7971014492753623,0.8059701492537313,0.8507462686567164,0.835820895522388,0.7761194029850746,0.8130563798219584,0.026810474310619486,52,0.9850746268656716,0.9888888888888889,0.9814814814814815,0.9814814814814815,0.9777777777777777,0.9829408512990602,0.0037642794278260126
