,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
301,2.418519401550293,0.07454066470879236,0.07356719970703125,0.01710980764900612,600,50,10,100,150,True,"{'n_estimators': 600, 'min_samples_split': 50, 'min_samples_leaf': 10, 'max_features': 100, 'max_depth': 150, 'bootstrap': True}",0.6896551724137931,0.7241379310344828,0.5172413793103449,0.6428571428571429,0.6785714285714286,0.6503486281445967,0.0717817849449536,270,0.8245614035087719,0.8157894736842105,0.8245614035087719,0.8347826086956521,0.8434782608695652,0.8286346300533942,0.009553129417199928
119,0.6476696491241455,0.009574472617976268,0.0400118350982666,0.0018012710907352172,400,20,3,sqrt,75,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 75, 'bootstrap': True}",0.7586206896551724,0.6551724137931034,0.5172413793103449,0.6428571428571429,0.6785714285714286,0.6503486281445967,0.07818146360369947,270,0.9385964912280702,0.9210526315789473,0.8859649122807017,0.9130434782608695,0.9304347826086956,0.9178184591914569,0.01810418181856365
155,0.6673897743225098,0.032778104119553446,0.03995437622070312,0.003209155460787988,400,20,5,auto,20,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}",0.7241379310344828,0.6896551724137931,0.5172413793103449,0.6428571428571429,0.6785714285714286,0.6503486281445967,0.0717817849449536,270,0.9122807017543859,0.8596491228070176,0.8508771929824561,0.8782608695652174,0.9043478260869565,0.8810831426392067,0.024059571969617825
455,1.5662339210510254,0.07319430984235287,0.12598166465759278,0.029278282212681944,800,20,3,sqrt,50,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.7241379310344828,0.6896551724137931,0.5172413793103449,0.6428571428571429,0.6785714285714286,0.6503486281445967,0.0717817849449536,270,0.9298245614035088,0.9122807017543859,0.8859649122807017,0.9130434782608695,0.9217391304347826,0.9125705568268497,0.014764358491293943
222,0.6298330307006836,0.016081413858718807,0.04420204162597656,0.0034558811921317897,400,15,1,10,10,True,"{'n_estimators': 400, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 10, 'max_depth': 10, 'bootstrap': True}",0.7241379310344828,0.6551724137931034,0.5517241379310345,0.6428571428571429,0.6785714285714286,0.6503486281445966,0.05686115939037414,275,0.9473684210526315,0.9298245614035088,0.9035087719298246,0.9130434782608695,0.9478260869565217,0.9283142639206712,0.017858121223992218
344,1.0462696552276611,0.024540429300600325,0.05978646278381348,0.003644100061866253,600,10,2,auto,10,True,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}",0.7241379310344828,0.6551724137931034,0.5517241379310345,0.6428571428571429,0.6785714285714286,0.6503486281445966,0.05686115939037414,275,0.956140350877193,0.956140350877193,0.956140350877193,0.9478260869565217,0.9739130434782609,0.9580320366132723,0.008568584623077502
478,0.3258962154388428,0.016841369950067426,0.02257981300354004,0.0017212934788196003,200,50,4,10,10,False,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 10, 'bootstrap': False}",0.7586206896551724,0.6896551724137931,0.5172413793103449,0.6428571428571429,0.6428571428571429,0.6503120843139262,0.07921105592272179,277,0.9035087719298246,0.8596491228070176,0.868421052631579,0.8869565217391304,0.9043478260869565,0.8845766590389017,0.018096261339895052
449,0.9343699455261231,0.03661105029789407,0.07016143798828126,0.009619663416284693,600,15,2,5,150,False,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 5, 'max_depth': 150, 'bootstrap': False}",0.7241379310344828,0.6551724137931034,0.5862068965517241,0.6428571428571429,0.6428571428571429,0.6503120843139261,0.044222920238197544,278,0.9912280701754386,1.0,1.0,0.991304347826087,1.0,0.9965064836003051,0.004278734284856272
35,0.8461193561553955,0.01376941229036568,0.06071205139160156,0.004593890929690698,600,10,1,5,,True,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 5, 'max_depth': None, 'bootstrap': True}",0.6896551724137931,0.6551724137931034,0.6206896551724138,0.6071428571428571,0.6785714285714286,0.6502061072049816,0.031953902970043246,279,0.9736842105263158,0.9912280701754386,0.9649122807017544,0.991304347826087,0.9652173913043478,0.9772692601067886,0.011854342056505525
275,0.2207160472869873,0.0189789618931497,0.01286616325378418,0.004669947560227158,50,20,10,75,50,True,"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 75, 'max_depth': 50, 'bootstrap': True}",0.7241379310344828,0.6551724137931034,0.5172413793103449,0.7142857142857143,0.6071428571428571,0.6436026370028212,0.0762314662969691,280,0.8421052631578947,0.8333333333333334,0.8070175438596491,0.8695652173913043,0.8695652173913043,0.8443173150266972,0.023629333905339132
188,0.4286323547363281,0.03478962914763638,0.026497793197631837,0.0041057276179663595,200,10,10,auto,40,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'auto', 'max_depth': 40, 'bootstrap': False}",0.7241379310344828,0.6206896551724138,0.5172413793103449,0.6785714285714286,0.6785714285714286,0.6435332037245473,0.07154804047958883,281,0.9473684210526315,0.9298245614035088,0.9122807017543859,0.9391304347826087,0.9565217391304348,0.937025171624714,0.015203082996014547
147,0.7931637763977051,0.01010702216954268,0.05481700897216797,0.0019846381522599125,600,12,4,10,,True,"{'n_estimators': 600, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': None, 'bootstrap': True}",0.7241379310344828,0.6206896551724138,0.5172413793103449,0.6785714285714286,0.6785714285714286,0.6435332037245473,0.07154804047958883,281,0.9473684210526315,0.9298245614035088,0.9035087719298246,0.9217391304347826,0.9304347826086956,0.9265751334858887,0.01423559230886888
77,0.04592008590698242,0.0028773756525673185,0.004279136657714844,0.00012628282919422201,25,50,10,auto,20,False,"{'n_estimators': 25, 'min_samples_split': 50, 'min_samples_leaf': 10, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.6896551724137931,0.6896551724137931,0.4827586206896552,0.6785714285714286,0.6785714285714286,0.6435332037245473,0.08098578269343584,281,0.8771929824561403,0.8333333333333334,0.8333333333333334,0.7913043478260869,0.8434782608695652,0.8357284515636918,0.0274384439863943
19,0.7882906436920166,0.12226129821699164,0.06377358436584472,0.004339765656690702,400,8,4,10,50,True,"{'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 50, 'bootstrap': True}",0.7241379310344828,0.6206896551724138,0.5172413793103449,0.6785714285714286,0.6785714285714286,0.6435332037245473,0.07154804047958883,281,0.9649122807017544,0.9298245614035088,0.9473684210526315,0.9478260869565217,0.9565217391304348,0.9492906178489703,0.011671268226460986
347,0.2034903049468994,0.0019849759065937366,0.012508821487426759,0.0014179520444299095,100,8,5,25,,True,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 25, 'max_depth': None, 'bootstrap': True}",0.7241379310344828,0.6551724137931034,0.5172413793103449,0.6785714285714286,0.6428571428571429,0.6434966598938767,0.06928791959314726,285,0.9649122807017544,0.956140350877193,0.9385964912280702,0.9391304347826087,0.9652173913043478,0.9527993897787947,0.011837681930100156
269,0.019874095916748047,0.0016129533635366752,0.003371143341064453,0.0002685552462929634,10,20,4,sqrt,,True,"{'n_estimators': 10, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.6206896551724138,0.7241379310344828,0.5172413793103449,0.6428571428571429,0.7142857142857143,0.6434272266156028,0.0749338083461921,286,0.9035087719298246,0.8508771929824561,0.8596491228070176,0.8695652173913043,0.9043478260869565,0.8775896262395119,0.022305202369306738
