,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
25,1.5274129390716553,0.036659123852833285,0.004208993911743164,0.0011461493196420138,0.01,exponential,50,100,1,15,200,0.75,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200, 'subsample': 0.75}",0.7333333333333333,0.8333333333333334,0.7931034482758621,0.7586206896551724,0.6896551724137931,0.7617381220369044,0.04927116956045333,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,1.020568037033081,0.03387458781748517,0.002969026565551758,0.0001967189947975204,0.1,exponential,50,100,1,15,200,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200, 'subsample': 0.75}",0.8,0.7666666666666667,0.7586206896551724,0.7586206896551724,0.6896551724137931,0.7548824994031175,0.035919212704580525,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
39,1.468006467819214,0.044818849580077307,0.0037395477294921873,0.0004507622742798746,0.1,exponential,50,100,1,15,1000,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 1000, 'subsample': 0.75}",0.8,0.7666666666666667,0.7586206896551724,0.7241379310344828,0.7241379310344828,0.7548824994031175,0.028590003154355812,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,0.07749824523925782,0.0033049505741675864,0.00199432373046875,2.6238785162838238e-05,0.1,exponential,50,100,1,15,10,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 10, 'subsample': 0.75}",0.7,0.7333333333333333,0.8275862068965517,0.8275862068965517,0.6551724137931034,0.748545311913776,0.06884565230429314,16,0.9914529914529915,0.9572649572649573,0.9915254237288136,0.9661016949152542,1.0,0.9812690134724033,0.016528759673842305
18,6.277431058883667,0.14610610442266447,0.007293319702148438,0.0003662693764332037,0.001,exponential,50,100,1,15,800,0.75,"{'learning_rate': 0.001, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 800, 'subsample': 0.75}",0.7,0.8,0.7586206896551724,0.7586206896551724,0.6896551724137931,0.7414304717077662,0.04109735696812289,17,0.9914529914529915,0.9914529914529915,1.0,0.9745762711864406,0.9915254237288136,0.9898015355642474,0.008297514757206383
46,0.46068754196166994,0.016985041887782666,0.004210424423217773,0.0023382406938128727,1,exponential,50,100,1,15,400,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 400, 'subsample': 0.75}",0.5666666666666667,0.8,0.8275862068965517,0.8620689655172413,0.5862068965517241,0.728237661584638,0.12585893068331944,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,4.611918115615845,0.09788751156375335,0.005711078643798828,0.00010760123937549318,0.001,exponential,50,100,1,15,600,0.75,"{'learning_rate': 0.001, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 600, 'subsample': 0.75}",0.6666666666666666,0.7333333333333333,0.7586206896551724,0.7931034482758621,0.6896551724137931,0.7281080527985264,0.045674657158386006,19,0.9658119658119658,0.9914529914529915,0.9830508474576272,0.9745762711864406,0.9661016949152542,0.9761987541648558,0.009920800033551065
41,0.0958970069885254,0.003944600171992258,0.002581357955932617,0.0005529045594730383,1,exponential,50,100,1,15,10,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 10, 'subsample': 0.75}",0.6666666666666666,0.7666666666666667,0.7931034482758621,0.6896551724137931,0.7241379310344828,0.7279784440124152,0.046890117518850145,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
48,0.6288527488708496,0.047901626205689087,0.0031940460205078123,0.0007274495441422963,1,exponential,50,100,1,15,800,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 800, 'subsample': 0.75}",0.7333333333333333,0.6666666666666666,0.8275862068965517,0.7586206896551724,0.6206896551724138,0.7212524301647395,0.07188059685526066,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,0.17957968711853028,0.011101852075558647,0.002188587188720703,0.00012180819906202351,1,exponential,50,100,1,15,25,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 25, 'subsample': 0.75}",0.6333333333333333,0.6333333333333333,0.8275862068965517,0.7586206896551724,0.7241379310344828,0.7149152426753981,0.07487656877396799,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,0.2358006000518799,0.012039132634837755,0.0024672508239746093,0.00023739425918195334,1,exponential,50,100,1,15,100,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100, 'subsample': 0.75}",0.8,0.6,0.8275862068965517,0.6206896551724138,0.6896551724137931,0.7075411848971657,0.09212438180318075,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,0.26933789253234863,0.016261555590412074,0.0024981975555419924,0.00025168960363534406,1,exponential,50,100,1,15,200,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200, 'subsample': 0.75}",0.7333333333333333,0.6666666666666666,0.7586206896551724,0.7241379310344828,0.6551724137931034,0.7075411848971657,0.039875849966307594,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0.3868724822998047,0.008016813134819648,0.002340221405029297,6.391941189075478e-05,0.01,exponential,50,100,1,15,50,0.75,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 50, 'subsample': 0.75}",0.6333333333333333,0.6666666666666666,0.7241379310344828,0.6896551724137931,0.6896551724137931,0.6805075207203519,0.029990566556784965,25,0.9658119658119658,0.9914529914529915,0.9830508474576272,0.9745762711864406,0.9576271186440678,0.9745038389106186,0.01200585455817564
43,0.19503164291381836,0.008777387994759736,0.0023418426513671874,0.0001778150378256591,1,exponential,50,100,1,15,50,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 50, 'subsample': 0.75}",0.6333333333333333,0.6333333333333333,0.6206896551724138,0.7241379310344828,0.7586206896551724,0.6737815068726764,0.056176410330029077,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,3.0691200733184814,0.05243412504683178,0.006129598617553711,0.003251212406167554,0.001,exponential,50,100,1,15,400,0.75,"{'learning_rate': 0.001, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 400, 'subsample': 0.75}",0.6333333333333333,0.5666666666666667,0.7241379310344828,0.7241379310344828,0.6896551724137931,0.6671851018111123,0.060499095230799424,27,0.9572649572649573,0.9914529914529915,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9694046066927424,0.011543223444039515
49,0.7183223247528077,0.13073666146458146,0.0027131557464599608,0.0005126661967556344,1,exponential,50,100,1,15,1000,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 1000, 'subsample': 0.75}",0.6666666666666666,0.7,0.5862068965517241,0.6896551724137931,0.6896551724137931,0.6665370578805553,0.04148962046298684,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,0.49471302032470704,0.027778509693780554,0.003047800064086914,0.0008761074405151094,1,exponential,50,100,1,15,600,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 600, 'subsample': 0.75}",0.6,0.6333333333333333,0.6551724137931034,0.6896551724137931,0.6896551724137931,0.6533442477574268,0.03434990892022967,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,0.019163036346435548,0.0030421056456478583,0.002072429656982422,9.487089594814179e-05,1,exponential,50,100,1,15,2,0.75,"{'learning_rate': 1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 2, 'subsample': 0.75}",0.6333333333333333,0.5333333333333333,0.7241379310344828,0.5172413793103449,0.5517241379310345,0.591902861625567,0.07709868220873002,30,0.9145299145299145,0.8717948717948718,0.8813559322033898,0.9491525423728814,0.8305084745762712,0.8894683470954657,0.040111631480770404
22,0.1956651210784912,0.007257261688610973,0.0021112918853759765,5.0381540947365316e-05,0.01,exponential,50,100,1,15,25,0.75,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 25, 'subsample': 0.75}",0.4666666666666667,0.43333333333333335,0.6206896551724138,0.5172413793103449,0.4827586206896552,0.5038166376752277,0.0641914755700745,31,0.8888888888888888,0.811965811965812,0.8898305084745762,0.7966101694915254,0.864406779661017,0.8503404316963639,0.03899452365910088
30,0.01788501739501953,0.0031148664226671287,0.002053070068359375,0.00011051079466844523,0.1,exponential,50,100,1,15,2,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 2, 'subsample': 0.75}",0.5,0.4666666666666667,0.3793103448275862,0.4827586206896552,0.5172413793103449,0.46927930693407005,0.0479014554079479,32,0.7863247863247863,0.7435897435897436,0.7711864406779662,0.5847457627118644,0.6779661016949152,0.7127625669998551,0.07399210785198232
15,1.502182960510254,0.05199169018647534,0.003945207595825196,0.0007547417432835696,0.001,exponential,50,100,1,15,200,0.75,"{'learning_rate': 0.001, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200, 'subsample': 0.75}",0.36666666666666664,0.23333333333333334,0.41379310344827586,0.4827586206896552,0.3793103448275862,0.3747262867082779,0.0817009688997153,33,0.7435897435897436,0.7094017094017094,0.7796610169491526,0.7627118644067796,0.7288135593220338,0.7448355787338838,0.024682743135373598
