,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
84,0.20594048500061035,0.024283379758495663,0.012555503845214843,0.0011236346003662136,True,20,auto,2,20,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 100}",0.8235294117647058,0.7647058823529411,0.7941176470588235,0.7910447761194029,0.7878787878787878,0.7922848664688428,0.018847871307149284,39,0.9553903345724907,0.9479553903345725,0.9591078066914498,0.9666666666666667,0.955719557195572,0.9569679510921503,0.006064943171940975
85,0.4015189170837402,0.05382565405444389,0.023776912689208986,0.0018193828067311559,True,20,auto,2,20,200,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",0.8235294117647058,0.7941176470588235,0.7205882352941176,0.7761194029850746,0.8484848484848485,0.7922848664688428,0.04365105267258491,39,0.9628252788104089,0.9516728624535316,0.9516728624535316,0.9666666666666667,0.955719557195572,0.9577114455159421,0.006053823035174912
86,0.8573193550109863,0.04168629707595073,0.05190997123718262,0.009017216225218004,True,20,auto,2,20,400,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 400}",0.8088235294117647,0.7941176470588235,0.7647058823529411,0.7910447761194029,0.803030303030303,0.7922848664688428,0.015240192539290988,39,0.9628252788104089,0.9479553903345725,0.9553903345724907,0.9592592592592593,0.948339483394834,0.954753949274313,0.0058858294396724195
48,1.9472004890441894,0.10243570053878148,0.08541955947875976,0.013582396178629755,True,20,25,2,20,800,"{'bootstrap': True, 'max_depth': 20, 'max_features': 25, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 800}",0.8382352941176471,0.8088235294117647,0.75,0.7611940298507462,0.803030303030303,0.7922848664688428,0.032508757923658496,39,0.9702602230483272,0.9591078066914498,0.9628252788104089,0.9629629629629629,0.9520295202952029,0.9614371583616703,0.005933480626405855
61,0.049431371688842776,0.004234926294930364,0.00334014892578125,0.0009378374580361299,True,20,75,2,20,10,"{'bootstrap': True, 'max_depth': 20, 'max_features': 75, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 10}",0.8529411764705882,0.7352941176470589,0.8382352941176471,0.7910447761194029,0.7272727272727273,0.7893175074183977,0.05141074927372267,45,0.929368029739777,0.9219330855018587,0.9479553903345725,0.937037037037037,0.948339483394834,0.9369266052016159,0.010332838732427347
87,1.1267534255981446,0.07948422850469335,0.0658292293548584,0.007226093932016908,True,20,auto,2,20,600,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 600}",0.8235294117647058,0.7941176470588235,0.7352941176470589,0.7910447761194029,0.803030303030303,0.7893175074183977,0.029447337896315765,45,0.9628252788104089,0.9553903345724907,0.9553903345724907,0.9629629629629629,0.9520295202952029,0.9577196862427112,0.004399744836914172
88,1.5048263549804688,0.13298893946344775,0.09265599250793458,0.018928513509012874,True,20,auto,2,20,800,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 800}",0.8235294117647058,0.7941176470588235,0.7647058823529411,0.7611940298507462,0.803030303030303,0.7893175074183977,0.02360345571775159,45,0.9628252788104089,0.9516728624535316,0.9591078066914498,0.9666666666666667,0.948339483394834,0.9577224196033782,0.006820478848330063
37,0.9037683486938477,0.026632565746358243,0.05932836532592774,0.0019605008171921547,True,20,10,2,20,600,"{'bootstrap': True, 'max_depth': 20, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 600}",0.8088235294117647,0.7794117647058824,0.75,0.7910447761194029,0.8181818181818182,0.7893175074183977,0.023921979384250794,45,0.9479553903345725,0.9442379182156134,0.9516728624535316,0.9629629629629629,0.9520295202952029,0.9517717308523768,0.006271246994080626
35,0.3855625629425049,0.013857636717487756,0.028416919708251952,0.0055457457665033984,True,20,10,2,20,200,"{'bootstrap': True, 'max_depth': 20, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",0.7941176470588235,0.7941176470588235,0.7794117647058824,0.7611940298507462,0.8181818181818182,0.7893175074183977,0.018695287547672156,45,0.9553903345724907,0.9442379182156134,0.9479553903345725,0.9592592592592593,0.9520295202952029,0.9517744845354278,0.0053018219472887726
28,1.0886832237243653,0.03732429300799591,0.08402066230773926,0.008849314465891375,True,20,5,2,20,800,"{'bootstrap': True, 'max_depth': 20, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 800}",0.7941176470588235,0.7647058823529411,0.75,0.7910447761194029,0.8333333333333334,0.7863501483679525,0.028460810355018844,50,0.9442379182156134,0.9442379182156134,0.9442379182156134,0.9518518518518518,0.9372693726937269,0.9443669958384838,0.0046140937776343064
93,0.09056191444396973,0.0036935996534781883,0.006766557693481445,9.36846079729702e-05,True,20,sqrt,2,20,50,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 50}",0.8088235294117647,0.8088235294117647,0.7794117647058824,0.746268656716418,0.7878787878787878,0.7863501483679525,0.023095226215295975,50,0.9516728624535316,0.9442379182156134,0.9479553903345725,0.9629629629629629,0.959409594095941,0.9532477456125242,0.0069859873457302525
43,0.10688018798828125,0.0013275294638771641,0.006927490234375,0.000900066015021016,True,20,25,2,20,50,"{'bootstrap': True, 'max_depth': 20, 'max_features': 25, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 50}",0.8529411764705882,0.7647058823529411,0.8088235294117647,0.7761194029850746,0.7272727272727273,0.7863501483679525,0.04237387576658715,50,0.9516728624535316,0.9516728624535316,0.966542750929368,0.9703703703703703,0.9446494464944649,0.9569816585402533,0.009788995636592916
27,0.7405662536621094,0.027855311448102455,0.06239924430847168,0.009779374678540165,True,20,5,2,20,600,"{'bootstrap': True, 'max_depth': 20, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 600}",0.7941176470588235,0.7647058823529411,0.7647058823529411,0.7611940298507462,0.8333333333333334,0.7833827893175074,0.027396266817839746,53,0.9368029739776952,0.9330855018587361,0.9479553903345725,0.9555555555555556,0.9372693726937269,0.9421337588840573,0.008342499560198027
94,0.18155207633972167,0.004379886889801339,0.012072134017944335,0.0008278207069805152,True,20,sqrt,2,20,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 100}",0.8088235294117647,0.8088235294117647,0.7647058823529411,0.746268656716418,0.7727272727272727,0.7804154302670623,0.02487712845651131,54,0.9591078066914498,0.9479553903345725,0.9442379182156134,0.9592592592592593,0.955719557195572,0.9532559863392933,0.006095476014849176
71,0.0562492847442627,0.001809668668954231,0.0038507938385009765,0.002324447997754862,True,20,100,2,20,10,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 10}",0.8382352941176471,0.7794117647058824,0.8088235294117647,0.7164179104477612,0.7575757575757576,0.7804154302670623,0.04188152116928438,54,0.9479553903345725,0.9442379182156134,0.9442379182156134,0.9407407407407408,0.9630996309963099,0.94805431970057,0.007861163486349713
24,0.11925683021545411,0.004118931010835514,0.013049888610839843,0.0029760674993760997,True,20,5,2,20,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 100}",0.7941176470588235,0.7794117647058824,0.7794117647058824,0.746268656716418,0.803030303030303,0.7804154302670623,0.01924238152758942,54,0.9442379182156134,0.9330855018587361,0.9405204460966543,0.9592592592592593,0.9261992619926199,0.9406604774845766,0.01118248079553762
